sample_id,created_date,agency,complaint_type,descriptor,borough,incident_zip,latitude,longitude,location_type,street_name,status,resolution_description,request_month,request_hour,feature_text,maintenance_group
REQ-00001,2026-03-23 02:07:00,DOT,Street Condition,Pothole,QUEENS,11432,,,,GRAND CENTRL PARKWAY,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,2,pothole |  | grand centrl parkway | queens | dot | closed,pavement_surface
REQ-00002,2026-03-23 02:03:23,DOT,Street Condition,Pothole,QUEENS,11432,,,,84 AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,2,pothole |  | 84 avenue | queens | dot | open,pavement_surface
REQ-00003,2026-03-23 01:54:33,DOT,Street Condition,Pothole,BROOKLYN,11237,,,,DE KALB AVENUE,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,1,pothole |  | de kalb avenue | brooklyn | dot | open,pavement_surface
REQ-00004,2026-03-23 01:48:27,DOT,Street Condition,Plate Condition - Noisy,BROOKLYN,11218,40.647440222229974,-73.9789224791128,Street,CATON AVENUE,In Progress,,3,1,plate condition - noisy | street | caton avenue | brooklyn | dot | in progress,pavement_surface
REQ-00005,2026-03-23 01:35:03,DOT,Street Condition,Pothole,BRONX,10460,,,,DEVOE AVENUE,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,1,pothole |  | devoe avenue | bronx | dot | closed,pavement_surface
REQ-00006,2026-03-23 01:28:33,DOT,Street Condition,Plate Condition - Noisy,BROOKLYN,11218,40.647442965031736,-73.9789116674126,Street,CATON AVENUE,In Progress,,3,1,plate condition - noisy | street | caton avenue | brooklyn | dot | in progress,pavement_surface
REQ-00007,2026-03-23 01:17:42,DOT,Street Condition,Pothole,QUEENS,11421,40.69119684693458,-73.85577893032874,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,1,pothole |  |  | queens | dot | open,pavement_surface
REQ-00008,2026-03-23 01:16:05,DSNY,Missed Collection,Recycling - Paper,BROOKLYN,11219,40.63663538117057,-73.98872612688467,Street,45 STREET,In Progress,,3,1,recycling - paper | street | 45 street | brooklyn | dsny | in progress,sanitation
REQ-00009,2026-03-23 01:06:48,DOT,Street Condition,Pothole,QUEENS,11420,40.66066079561482,-73.82395022234725,,,Open,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,3,1,pothole |  |  | queens | dot | open,pavement_surface
REQ-00010,2026-03-23 01:03:25,DOT,Street Condition,Pothole,MANHATTAN,10001,,,,WEST   30 STREET,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,3,1,pothole |  | west   30 street | manhattan | dot | closed,pavement_surface
REQ-00011,2026-03-23 01:00:00,DOT,Street Light Condition,Street Light Out,QUEENS,11433,40.693688221872065,-73.77625141214786,,,Open,,3,1,street light out |  |  | queens | dot | open,lighting
