"created_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location_type","street_name","status","resolution_description"
"2026-03-23T02:07:00.000","DOT","Street Condition","Pothole","QUEENS","11432",,,,"GRAND CENTRL PARKWAY","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T02:03:23.000","DOT","Street Condition","Pothole","QUEENS","11432",,,,"84 AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T01:54:33.000","DOT","Street Condition","Pothole","BROOKLYN","11237",,,,"DE KALB AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T01:48:27.000","DOT","Street Condition","Plate Condition - Noisy","BROOKLYN","11218","40.647440222229974","-73.9789224791128","Street","CATON AVENUE","In Progress",
"2026-03-23T01:35:03.000","DOT","Street Condition","Pothole","BRONX","10460",,,,"DEVOE AVENUE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T01:28:33.000","DOT","Street Condition","Plate Condition - Noisy","BROOKLYN","11218","40.647442965031736","-73.9789116674126","Street","CATON AVENUE","In Progress",
"2026-03-23T01:17:42.000","DOT","Street Condition","Pothole","QUEENS","11421","40.69119684693458","-73.85577893032874",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T01:16:05.000","DSNY","Missed Collection","Recycling - Paper","BROOKLYN","11219","40.63663538117057","-73.98872612688467","Street","45 STREET","In Progress",
"2026-03-23T01:06:48.000","DOT","Street Condition","Pothole","QUEENS","11420","40.66066079561482","-73.82395022234725",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T01:03:25.000","DOT","Street Condition","Pothole","MANHATTAN","10001",,,,"WEST   30 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T01:00:00.000","DOT","Street Light Condition","Street Light Out","QUEENS","11433","40.693688221872065","-73.77625141214786",,,"Open",
"2026-03-23T00:53:18.000","DOT","Street Condition","Pothole","MANHATTAN","10011",,,,"WEST   17 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T00:53:00.000","DOT","Street Light Condition","Street Light Out","BRONX","10451","40.81358895557613","-73.93104615834683",,,"Open",
"2026-03-23T00:50:14.000","DOT","Street Condition","Cave-in","MANHATTAN","10009","40.727371694401256","-73.985441988989","Street","FIRST AVENUE","In Progress",
"2026-03-23T00:47:26.000","DOT","Street Condition","Cave-in","MANHATTAN","10009","40.726682822400264","-73.98594002913443","Street","FIRST AVENUE","In Progress",
"2026-03-23T00:46:23.000","DOT","Street Condition","Pothole","BROOKLYN","11221",,,,"JEFFERSON AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T00:38:39.000","DOT","Street Condition","Pothole","QUEENS","11357",,,,"CROSS ISLAND PARKWAY","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T00:38:31.000","DOT","Street Condition","Pothole","BRONX","10457",,,,"EAST  174 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T00:35:27.000","DOT","Street Condition","Failed Street Repair","BRONX","10466","40.89424872030681","-73.84880970387182","Street","BUSSING AVENUE","In Progress",
"2026-03-23T00:26:10.000","DOT","Street Condition","Pothole","BROOKLYN","11224",,,,"NEPTUNE AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T00:21:40.000","DOT","Street Condition","Pothole","BROOKLYN","11220",,,,"WAKEMAN PLACE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T00:18:46.000","DOT","Street Condition","Pothole","BRONX","10472","40.829501937432156","-73.87460889175321",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T00:18:29.000","DOT","Street Condition","Pothole","BROOKLYN","11237","40.69942773009148","-73.91230985742006",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T00:10:38.000","DOT","Street Condition","Pothole","QUEENS","11420","40.67227823545444","-73.8044924214824",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T00:09:46.000","DOT","Street Condition","Pothole","QUEENS","11420",,,,"ROCKAWAY BOULEVARD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T00:09:08.000","DOT","Street Condition","Pothole","QUEENS","11434",,,,"ROCKAWAY BOULEVARD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-23T00:08:56.000","DOT","Street Condition","Pothole","BROOKLYN","11214",,,,"BAY PARKWAY","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-23T00:08:24.000","DOT","Street Condition","Pothole","QUEENS","11420",,,,"134 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
